Release,Studio,Release_Cinema,Release_Digital_Streaming
Iron Man,MCU,2/5/2008,30/9/2008
The Incredible Hulk,MCU,13/6/2008,21/10/2008
Iron Man 2,MCU,7/5/2010,28/9/2010
Thor,MCU,6/5/2011,13/9/2011
Captain America: The First Avenger,MCU,22/7/2011,25/10/2011
The Avengers,MCU,4/5/2012,25/9/2012
Iron Man 3,MCU,3/5/2013,24/9/2013
Thor: The Dark World,MCU,8/11/2013,25/2/2014
Captain America: The Winter Soldier,MCU,4/4/2014,9/9/2014
Guardians of the Galaxy,MCU,1/8/2014,9/12/2014
Avengers: Age of Ultron,MCU,1/5/2015,2/10/2015
Ant-Man,MCU,17/7/2015,8/12/2015
Captain America: Civil War,MCU,6/5/2016,13/9/2016
Doctor Strange,MCU,4/11/2016,28/2/2017
Guardians of the Galaxy Vol. 2,MCU,5/5/2017,22/8/2017
Thor: Ragnarok,MCU,3/11/2017,6/3/2018
Black Panther,MCU,16/2/2018,15/5/2018
Avengers: Infinity War,MCU,27/4/2018,14/8/2018
Ant-Man and the Wasp,MCU,6/7/2018,16/10/2018
Captain Marvel,MCU,8/3/2019,11/6/2019
Avengers: Endgame,MCU,26/4/2019,13/8/2019
Black Widow,MCU,9/7/2021,14/9/2021
Shang-Chi and the Legend of the Ten Rings,MCU,3/9/2021,30/11/2021
Eternals,MCU,5/11/2021,15/2/2022
Doctor Strange in the Multiverse of Madness,MCU,6/5/2022,26/7/2022
Thor: Love and Thunder,MCU,8/7/2022,27/9/2022
Black Panther: Wakanda Forever,MCU,11/11/2022,7/2/2023
Ant-Man and the Wasp: Quantumania,MCU,17/2/2023,16/5/2023
Guardians of the Galaxy Vol. 3,MCU,5/5/2023,1/8/2023
The Marvels,MCU,10/11/2023,13/2/2024
Deadpool & Wolverine,MCU,26/7/2024,12/11/2024
Spider-Man: Homecoming,Sony,7/7/2017,17/10/2017
Venom,Sony,5/10/2018,18/12/2018
Spider-Man: Into the Spider-Verse,Sony,14/12/2018,19/3/2019
Spider-Man: Far from Home,Sony,2/7/2019,1/10/2019
Venom: Let There Be Carnage,Sony,1/10/2021,14/12/2021
Spider-Man: No Way Home,Sony,17/12/2021,12/4/2022
Morbius,Sony,1/4/2022,14/6/2022
Spider-Man: Across the Spider-Verse,Sony,2/6/2023,8/8/2023
Madame Web,Sony,14/2/2024,16/4/2024
Venom: The Last Dance,Sony,25/10/2024,10/12/2024
X-Men Origins: Wolverine,Fox,1/5/2009,15/9/2009
X-Men: First Class,Fox,3/6/2011,9/9/2011
The Wolverine,Fox,26/7/2013,3/12/2013
X-Men: Days of Future Past,Fox,23/5/2014,14/10/2014
Fantastic Four,Fox,7/8/2015,15/12/2015
Deadpool,Fox,12/2/2016,10/5/2016
X-Men: Apocalypse,Fox,27/5/2016,4/10/2016
Logan,Fox,3/3/2017,23/5/2017
Deadpool 2,Fox,18/5/2018,21/8/2018
X-Men: Dark Phoenix,Fox,7/6/2019,17/9/2019
The New Mutants,Fox,28/8/2020,17/11/2020
The Dark Knight,DC,18/7/2008,9/12/2008
Watchmen,DC,6/3/2009,21/7/2009
Green Lantern,DC,17/6/2011,14/10/2011
The Dark Knight Rises,DC,20/7/2012,4/12/2012
Man of Steel,DC,14/6/2013,12/11/2013
Batman v Superman: Dawn of Justice,DC,25/3/2016,19/7/2016
Suicide Squad,DC,5/8/2016,13/12/2016
Wonder Woman,DC,2/6/2017,19/9/2017
Justice League,DC,17/11/2017,13/3/2018
Aquaman,DC,21/12/2018,26/3/2019
Shazam!,DC,5/4/2019,16/7/2019
Joker,DC,4/10/2019,17/12/2019
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,DC,7/2/2020,12/5/2020
Wonder Woman 1984,DC,25/12/2020,25/12/2020
The Suicide Squad,DC,5/8/2021,13/9/2021
The Batman,DC,4/3/2022,24/5/2022
Black Adam,DC,21/10/2022,3/1/2023
Shazam! Fury of the Gods,DC,17/3/2023,23/5/2023
The Flash,DC,16/6/2023,29/8/2023
Blue Beetle,DC,18/8/2023,31/10/2023
Aquaman and the Lost Kingdom,DC,22/12/2023,1/2/2024
Joker: Folie ýýýý Deux,DC,4/10/2024,13/12/2024
Spider-Man,Sony,3/5/2002,11/11/2002
Spider-Man 2,Sony,30/6/2004,30/11/2004
Spider-Man 3,Sony,4/5/2007,30/10/2007
The Amazing Spider-Man,Sony,3/7/2012,9/11/2012
The Amazing Spider-Man 2,Sony,2/5/2014,19/8/2014
Blade,New Line Cinema,21/8/1998,22/12/1998
Blade II,New Line Cinema,22/3/2002,10/9/2002
Blade: Trinity,New Line Cinema,8/12/2004,26/4/2005
Fantastic Four,Fox,8/7/2005,6/12/2005
Fantastic Four: Rise of the Silver Surfer,Fox,15/6/2007,4/12/2007
Fantastic Four,Fox,7/8/2015,15/12/2015
X-Men,Fox,14/7/2000,21/11/2000
X2: X-Men United,Fox,2/5/2003,25/11/2003
X-Men: The Last Stand,Fox,26/5/2006,3/10/2006
Zack Snyder's Justice League,DC,18/3/2021,18/3/2021
