Release,Studio,Release_Cinema,Release_Digital_Streaming,DOW,Rank,Daily,Theaters,Day
Iron Man,MCU,2008-05-02,2008-09-30,Thursday,1,3500000.0,2500,0
Iron Man,MCU,2008-05-02,2008-09-30,Friday,1,35234361.0,4105,1
Iron Man,MCU,2008-05-02,2008-09-30,Saturday,1,37350099.0,4105,2
Iron Man,MCU,2008-05-02,2008-09-30,Sunday,1,26034208.0,4105,3
Iron Man,MCU,2008-05-02,2008-09-30,Monday,1,6934568.0,4105,4
Iron Man,MCU,2008-05-02,2008-09-30,Tuesday,1,6505784.0,4105,5
Iron Man,MCU,2008-05-02,2008-09-30,Wednesday,1,5747344.0,4105,6
Iron Man,MCU,2008-05-02,2008-09-30,Thursday,1,5328031.0,4105,7
Iron Man,MCU,2008-05-02,2008-09-30,Friday,1,14873192.0,4111,8
Iron Man,MCU,2008-05-02,2008-09-30,Saturday,1,21374629.0,4111,9
Iron Man,MCU,2008-05-02,2008-09-30,Sunday,1,14942808.0,4111,10
Iron Man,MCU,2008-05-02,2008-09-30,Monday,1,3850844.0,4111,11
Iron Man,MCU,2008-05-02,2008-09-30,Tuesday,1,3357146.0,4111,12
Iron Man,MCU,2008-05-02,2008-09-30,Wednesday,1,3082988.0,4111,13
Iron Man,MCU,2008-05-02,2008-09-30,Thursday,1,3169387.0,4111,14
Iron Man,MCU,2008-05-02,2008-09-30,Friday,2,8659239.0,4154,15
Iron Man,MCU,2008-05-02,2008-09-30,Saturday,2,13431355.0,4154,16
Iron Man,MCU,2008-05-02,2008-09-30,Sunday,2,9748402.0,4154,17
Iron Man,MCU,2008-05-02,2008-09-30,Monday,2,3072182.0,4154,18
Iron Man,MCU,2008-05-02,2008-09-30,Tuesday,2,2219928.0,4154,19
Iron Man,MCU,2008-05-02,2008-09-30,Wednesday,2,1926258.0,4154,20
Iron Man,MCU,2008-05-02,2008-09-30,Thursday,3,1824663.0,4154,21
Iron Man,MCU,2008-05-02,2008-09-30,Friday,3,5437126.0,3915,22
Iron Man,MCU,2008-05-02,2008-09-30,Saturday,3,7898842.0,3915,23
Iron Man,MCU,2008-05-02,2008-09-30,Sunday,3,7111285.0,3915,24
Iron Man,MCU,2008-05-02,2008-09-30,Monday,3,5663877.0,3915,25
Iron Man,MCU,2008-05-02,2008-09-30,Tuesday,3,1561073.0,3915,26
Iron Man,MCU,2008-05-02,2008-09-30,Wednesday,3,1395588.0,3915,27
Iron Man,MCU,2008-05-02,2008-09-30,Thursday,3,1389865.0,3915,28
Iron Man,MCU,2008-05-02,2008-09-30,Friday,4,3783237.0,3650,29
Iron Man,MCU,2008-05-02,2008-09-30,Saturday,4,6068126.0,3650,30
