Release,Studio,Release_Cinema,Release_Digital_Streaming,BOM_Link
Iron Man,MCU,2008-05-02,2008-09-30,https://www.boxofficemojo.com/release/rl1482327553/?ref_=bo_fr_table_19
The Incredible Hulk,MCU,2008-06-13,2008-10-21,https://www.boxofficemojo.com/release/rl2791015937/?ref_=bo_fr_table_36
Iron Man 2,MCU,2010-05-07,2010-09-28,https://www.boxofficemojo.com/release/rl1515881985/?ref_=bo_fr_table_21
Thor,MCU,2011-05-06,2011-09-13,https://www.boxofficemojo.com/release/rl3094644225/?ref_=bo_fr_table_32
Captain America: The First Avenger,MCU,2011-07-22,2011-10-25,https://www.boxofficemojo.com/release/rl1900578305/?ref_=bo_fr_table_34
The Avengers,MCU,2012-05-04,2012-09-25,https://www.boxofficemojo.com/release/rl709199361/?ref_=bo_fr_table_6
Iron Man 3,MCU,2013-05-03,2013-09-24,https://www.boxofficemojo.com/release/rl1532659201/?ref_=bo_fr_table_11
Thor: The Dark World,MCU,2013-11-08,2014-02-25,https://www.boxofficemojo.com/release/rl3111421441/?ref_=bo_fr_table_28
Captain America: The Winter Soldier,MCU,2014-04-04,2014-09-09,https://www.boxofficemojo.com/release/rl3194193409/?ref_=bo_fr_table_22
Guardians of the Galaxy,MCU,2014-08-01,2014-12-09,https://www.boxofficemojo.com/release/rl3177416193/?ref_=bo_fr_table_18
Avengers: Age of Ultron,MCU,2015-05-01,2015-10-02,https://www.boxofficemojo.com/release/rl675644929/?ref_=bo_fr_table_7
Ant-Man,MCU,2015-07-17,2015-12-08,https://www.boxofficemojo.com/release/rl88245761/?ref_=bo_fr_table_33
Captain America: Civil War,MCU,2016-05-06,2016-09-13,https://www.boxofficemojo.com/release/rl3210970625/?ref_=bo_fr_table_12
Doctor Strange,MCU,2016-11-04,2017-02-28,https://www.boxofficemojo.com/release/rl3076752897/?ref_=bo_fr_table_24
Guardians of the Galaxy Vol. 2,MCU,2017-05-05,2017-08-22,https://www.boxofficemojo.com/release/rl2976089601/?ref_=bo_fr_table_14
Thor: Ragnarok,MCU,2017-11-03,2018-03-06,https://www.boxofficemojo.com/release/rl2959312385/?ref_=bo_fr_table_20
Black Panther,MCU,2018-02-16,2018-05-15,https://www.boxofficemojo.com/release/rl2992866817/?ref_=bo_fr_table_3
