Franchise,Release,Release_Date,Distributor,BOM_Link
Marvel Cinematic Universe,Avengers: Endgame,2019-04-26,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl3059975681/?ref_=bo_fr_table_1
Marvel Cinematic Universe,Spider-Man: No Way Home,2021-12-17,Sony Pictures Releasing,https://www.boxofficemojo.com/release/rl2869659137/?ref_=bo_fr_table_2
Marvel Cinematic Universe,Black Panther,2018-02-16,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl2992866817/?ref_=bo_fr_table_3
Marvel Cinematic Universe,Avengers: Infinity War,2018-04-27,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl3043198465/?ref_=bo_fr_table_4
Marvel Cinematic Universe,Deadpool & Wolverine,2024-07-26,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl4108092161/?ref_=bo_fr_table_5
Marvel Cinematic Universe,The Avengers,2012-05-04,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl709199361/?ref_=bo_fr_table_6
Marvel Cinematic Universe,Avengers: Age of Ultron,2015-05-01,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl675644929/?ref_=bo_fr_table_7
Marvel Cinematic Universe,Black Panther: Wakanda Forever,2022-11-11,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl3573908993/?ref_=bo_fr_table_8
Marvel Cinematic Universe,Captain Marvel,2019-03-08,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl3009644033/?ref_=bo_fr_table_9
Marvel Cinematic Universe,Doctor Strange in the Multiverse of Madness,2022-05-06,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl3724903937/?ref_=bo_fr_table_10
Marvel Cinematic Universe,Iron Man 3,2013-05-03,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl1532659201/?ref_=bo_fr_table_11
Marvel Cinematic Universe,Captain America: Civil War,2016-05-06,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl3210970625/?ref_=bo_fr_table_12
Marvel Cinematic Universe,Spider-Man: Far from Home,2019-07-02,Sony Pictures Releasing,https://www.boxofficemojo.com/release/rl3791750657/?ref_=bo_fr_table_13
Marvel Cinematic Universe,Guardians of the Galaxy Vol. 2,2017-05-05,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl2976089601/?ref_=bo_fr_table_14
Marvel Cinematic Universe,Guardians of the Galaxy Vol. 3,2023-05-05,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl2977202945/?ref_=bo_fr_table_15
Marvel Cinematic Universe,Thor: Love and Thunder,2022-07-08,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl3523577345/?ref_=bo_fr_table_16
Marvel Cinematic Universe,Spider-Man: Homecoming,2017-07-07,Sony Pictures Releasing,https://www.boxofficemojo.com/release/rl863208961/?ref_=bo_fr_table_17
Marvel Cinematic Universe,Guardians of the Galaxy,2014-08-01,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl3177416193/?ref_=bo_fr_table_18
Marvel Cinematic Universe,Iron Man,2008-05-02,Paramount Pictures,https://www.boxofficemojo.com/release/rl1482327553/?ref_=bo_fr_table_19
Marvel Cinematic Universe,Thor: Ragnarok,2017-11-03,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl2959312385/?ref_=bo_fr_table_20
Marvel Cinematic Universe,Iron Man 2,2010-05-07,Paramount Pictures,https://www.boxofficemojo.com/release/rl1515881985/?ref_=bo_fr_table_21
Marvel Cinematic Universe,Captain America: The Winter Soldier,2014-04-04,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl3194193409/?ref_=bo_fr_table_22
Marvel Cinematic Universe,The Fantastic Four: First Steps,2025-07-25,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl2429649665/?ref_=bo_fr_table_23
Marvel Cinematic Universe,Doctor Strange,2016-11-04,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl3076752897/?ref_=bo_fr_table_24
Marvel Cinematic Universe,Shang-Chi and the Legend of the Ten Rings,2021-09-03,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl3490022913/?ref_=bo_fr_table_25
Marvel Cinematic Universe,Ant-Man and the Wasp,2018-07-06,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl2088535553/?ref_=bo_fr_table_26
Marvel Cinematic Universe,Ant-Man and the Wasp: Quantumania,2023-02-17,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl3195306753/?ref_=bo_fr_table_27
Marvel Cinematic Universe,Thor: The Dark World,2013-11-08,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl3111421441/?ref_=bo_fr_table_28
Marvel Cinematic Universe,Captain America: Brave New World,2025-02-14,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl2597421825/?ref_=bo_fr_table_29
Marvel Cinematic Universe,Thunderbolts*,2025-05-02,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl2647753473/?ref_=bo_fr_table_30
Marvel Cinematic Universe,Black Widow,2021-07-09,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl2122089985/?ref_=bo_fr_table_31
Marvel Cinematic Universe,Thor,2011-05-06,Paramount Pictures,https://www.boxofficemojo.com/release/rl3094644225/?ref_=bo_fr_table_32
Marvel Cinematic Universe,Ant-Man,2015-07-17,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl88245761/?ref_=bo_fr_table_33
Marvel Cinematic Universe,Captain America: The First Avenger,2011-07-22,Paramount Pictures,https://www.boxofficemojo.com/release/rl1900578305/?ref_=bo_fr_table_34
Marvel Cinematic Universe,Eternals,2021-11-05,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl2138867201/?ref_=bo_fr_table_35
Marvel Cinematic Universe,The Incredible Hulk,2008-06-13,Universal Pictures,https://www.boxofficemojo.com/release/rl2791015937/?ref_=bo_fr_table_36
Marvel Cinematic Universe,The Marvels,2023-11-10,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl247366145/?ref_=bo_fr_table_37
Marvel Cinematic Universe,Spider-Man: No Way Home,2022-09-02,Sony Pictures Releasing,https://www.boxofficemojo.com/release/rl735478529/?ref_=bo_fr_table_38
Marvel Cinematic Universe,Columbia 100th Anniversary Series,2024-04-15,Sony Pictures Releasing,https://www.boxofficemojo.com/release/rl4217536513/?ref_=bo_fr_table_39
Marvel Cinematic Universe,Columbia 100th Anniversary Series,2024-04-15,Sony Pictures Releasing,https://www.boxofficemojo.com/release/rl4217536513/?ref_=bo_fr_table_40
Marvel Cinematic Universe,Columbia 100th Anniversary Series,2024-04-15,Sony Pictures Releasing,https://www.boxofficemojo.com/release/rl4217536513/?ref_=bo_fr_table_41
Marvel Cinematic Universe,Guardians of the Galaxy,2020-11-13,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl526156545/?ref_=bo_fr_table_42
Marvel Cinematic Universe,Iron Man,2020-07-17,Walt Disney Pictures,https://www.boxofficemojo.com/release/rl71992065/?ref_=bo_fr_table_43
Marvel Cinematic Universe,Black Panther,2020-07-10,Walt Disney Pictures,https://www.boxofficemojo.com/release/rl222659329/?ref_=bo_fr_table_44
Marvel Cinematic Universe,Blade,,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl3584262657/?ref_=bo_fr_table_45
Marvel Cinematic Universe,Avengers: Doomsday,2026-12-18,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl2479981313/?ref_=bo_fr_table_46
Marvel Cinematic Universe,Avengers: Secret Wars,2027-12-17,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl2530312961/?ref_=bo_fr_table_47
Marvel Cinematic Universe,Black Widow,2021-07-09,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl4194665217/?ref_=bo_fr_table_48
Marvel Cinematic Universe,Spider-Man: Brand New Day,2026-07-31,Sony Pictures Releasing,https://www.boxofficemojo.com/release/rl2299756545/?ref_=bo_fr_table_49
Star Wars,Star Wars: Episode VII - The Force Awakens,2015-12-18,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl2691925505/?ref_=bo_fr_table_1
Star Wars,Star Wars: Episode VIII - The Last Jedi,2017-12-15,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl2708702721/?ref_=bo_fr_table_2
Star Wars,Rogue One: A Star Wars Story,2016-12-16,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl2557707777/?ref_=bo_fr_table_3
Star Wars,Star Wars: Episode IX - The Rise of Skywalker,2019-12-20,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl3305145857/?ref_=bo_fr_table_4
Star Wars,Star Wars: Episode I - The Phantom Menace,1999-05-19,Twentieth Century Fox,https://www.boxofficemojo.com/release/rl2742257153/?ref_=bo_fr_table_5
Star Wars,Star Wars: Episode III - Revenge of the Sith,2005-05-19,Twentieth Century Fox,https://www.boxofficemojo.com/release/rl2943583745/?ref_=bo_fr_table_6
Star Wars,Star Wars: Episode IV - A New Hope,1977-05-25,Twentieth Century Fox,https://www.boxofficemojo.com/release/rl2759034369/?ref_=bo_fr_table_7
Star Wars,Star Wars: Episode II - Attack of the Clones,2002-05-16,Twentieth Century Fox,https://www.boxofficemojo.com/release/rl2809366017/?ref_=bo_fr_table_8
Star Wars,Star Wars: Episode VI - Return of the Jedi,1983-05-25,Twentieth Century Fox,https://www.boxofficemojo.com/release/rl2792588801/?ref_=bo_fr_table_9
Star Wars,Solo: A Star Wars Story,2018-05-25,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl1954383361/?ref_=bo_fr_table_10
Star Wars,Star Wars: Episode V - The Empire Strikes Back,1980-05-21,Twentieth Century Fox,https://www.boxofficemojo.com/release/rl2775811585/?ref_=bo_fr_table_11
Star Wars,Star Wars: Episode IV - A New Hope,1997-01-31,Twentieth Century Fox,https://www.boxofficemojo.com/release/rl3379725825/?ref_=bo_fr_table_12
Star Wars,Star Wars: Episode V - The Empire Strikes Back,1997-02-21,Twentieth Century Fox,https://www.boxofficemojo.com/release/rl3396503041/?ref_=bo_fr_table_13
Star Wars,Star Wars: Episode VI - Return of the Jedi,1997-03-14,Twentieth Century Fox,https://www.boxofficemojo.com/release/rl3413280257/?ref_=bo_fr_table_14
Star Wars,Star Wars: Episode I - The Phantom Menace,2012-02-10,Twentieth Century Fox,https://www.boxofficemojo.com/release/rl1349682689/?ref_=bo_fr_table_15
Star Wars,Star Wars: The Clone Wars,2008-08-15,Warner Bros.,https://www.boxofficemojo.com/release/rl508200449/?ref_=bo_fr_table_16
Star Wars,Star Wars: Episode III - Revenge of the Sith,2025-04-25,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl2905833473/?ref_=bo_fr_table_17
Star Wars,Star Wars: Episode IV - A New Hope,1982-08-13,Twentieth Century Fox,https://www.boxofficemojo.com/release/rl2725479937/?ref_=bo_fr_table_18
Star Wars,Star Wars: Episode V - The Empire Strikes Back,1982-11-19,Twentieth Century Fox,https://www.boxofficemojo.com/release/rl2454816257/?ref_=bo_fr_table_19
Star Wars,Star Wars: Episode I - The Phantom Menace,2024-05-03,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl1901887489/?ref_=bo_fr_table_20
Star Wars,Star Wars: Episode VI - Return of the Jedi,1985-03-29,Twentieth Century Fox,https://www.boxofficemojo.com/release/rl4067264001/?ref_=bo_fr_table_21
Star Wars,Star Wars: Episode II - Attack of the Clones,2002-11-01,Twentieth Century Fox,https://www.boxofficemojo.com/release/rl561350145/?ref_=bo_fr_table_22
Star Wars,Star Wars: Episode VI - Return of the Jedi,2023-04-28,N/A,https://www.boxofficemojo.com/release/rl1133413121/?ref_=bo_fr_table_23
Star Wars,Star Wars: Episode V - The Empire Strikes Back,2020-07-10,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl172327681/?ref_=bo_fr_table_24
Star Wars,Rogue One: A Star Wars Story,2022-08-26,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl785810177/?ref_=bo_fr_table_25
Star Wars,Star Wars: Episode IV - A New Hope,2027-04-30,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl1389920257/?ref_=bo_fr_table_26
Star Wars,Untitled Taika Waititi Star Wars Film,2026-05-22,Walt Disney Pictures,https://www.boxofficemojo.com/release/rl336102913/?ref_=bo_fr_table_27
Star Wars,Star Wars: New Jedi Order,2027-12-17,Walt Disney Pictures,https://www.boxofficemojo.com/release/rl352880129/?ref_=bo_fr_table_28
Disney Live Action Reimaginings,The Lion King,2019-07-19,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl3321923073/?ref_=bo_fr_table_1
Disney Live Action Reimaginings,Beauty and the Beast,2017-03-17,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl222594561/?ref_=bo_fr_table_2
Disney Live Action Reimaginings,The Jungle Book,2016-04-15,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl2455602689/?ref_=bo_fr_table_3
Disney Live Action Reimaginings,Aladdin,2019-05-24,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl3246360065/?ref_=bo_fr_table_4
Disney Live Action Reimaginings,Alice in Wonderland,2010-03-05,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl3393226241/?ref_=bo_fr_table_5
Disney Live Action Reimaginings,Maleficent,2014-05-30,Walt Disney Studios Motion Pictures,https://www.boxofficemojo.com/release/rl3915417089/?ref_=bo_fr_table_6
