Year,Rank,Release Group,Worldwide,Domestic,Foreign
1977,1,Star Wars: Episode IV - A New Hope,307263857.0,307263857.0,0.0
1977,2,Smokey and the Bandit,126748082.0,126737428.0,87.0
1977,3,Close Encounters of the Third Kind,116396241.0,116395460.0,0.0
1977,4,Saturday Night Fever,94214336.0,94213184.0,0.0
1977,5,A Bridge Too Far,50750000.0,50750000.0,0.0
1977,6,The Deep,47346365.0,47346365.0,0.0
1977,7,The Spy Who Loved Me,46839295.0,46838673.0,0.0
1977,8,"Oh, God!",41687243.0,41687243.0,0.0
1977,9,Annie Hall,38252415.0,38251425.0,0.0
1977,10,Semi-Tough,37187139.0,37187139.0,0.0
1977,11,Pete's Dragon,35488000.0,35488000.0,0.0
1977,12,Heroes,33500000.0,33500000.0,0.0
1977,13,High Anxiety,31063038.0,31063038.0,0.0
1977,14,Exorcist II: The Heretic,30749142.0,30749142.0,0.0
1977,15,The Rescuers,29000120.0,29000000.0,0.0
1977,16,Slap Shot,28000000.0,28000000.0,0.0
1977,17,Herbie Goes to Monte Carlo,28000000.0,28000000.0,0.0
1977,18,The Gauntlet,26414658.0,26414658.0,0.0
1977,19,The Turning Point,25933445.0,25933445.0,0.0
1977,20,Freaky Friday,25642000.0,25642000.0,0.0
1977,21,The Other Side of Midnight,24652021.0,24652021.0,0.0
1977,22,Looking for Mr. Goodbar,22513493.0,22512655.0,0.0
1977,23,Julia,20714400.0,20714400.0,0.0
1977,24,The Bad News Bears in Breaking Training,19104350.0,19104350.0,0.0
1977,25,For the Love of Benji,17732000.0,17732000.0,0.0
1977,26,"New York, New York",16400658.0,16400000.0,0.0
1977,27,Black Sunday,15769322.0,15769322.0,0.0
1977,28,Orca,14717854.0,14717854.0,0.0
1977,29,Bobby Deerfield,9300000.0,9300000.0,0.0
1977,30,Islands in the Stream,5596173.0,5596173.0,0.0
1977,31,"Race for Your Life, Charlie Brown",3223888.0,3223888.0,0.0
1977,32,March or Die,1000000.0,1000000.0,0.0
1977,33,Joseph Andrews,839865.0,839865.0,0.0
1977,34,Citizens Band,815530.0,815530.0,0.0
1977,35,Fraternity Row,290674.0,290674.0,0.0
1977,36,Sorcerer,3556.0,0.0,0.0
1977,37,1900,420.0,0.0,0.0
1977,38,The Last Wave,280.0,0.0,0.0
1977,39,The American Friend,27.0,0.0,0.0
1978,1,Grease,159994471.0,159978870.0,1179.0
1978,2,Superman,134220479.0,134218018.0,2461.0
1978,3,National Lampoon's Animal House,120098342.0,120091123.0,7219.0
1978,4,Every Which Way But Loose,85196485.0,85196485.0,0.0
1978,5,Heaven Can Wait,81640278.0,81640278.0,0.0
1978,6,Hooper,78000000.0,78000000.0,0.0
1978,7,Jaws 2,77737272.0,77737272.0,0.0
1978,8,Revenge of the Pink Panther,49579269.0,49579269.0,0.0
1978,9,The Deer Hunter,48994659.0,48979328.0,12498.0
1978,10,Halloween,47001351.0,47000000.0,438.0
1978,11,Foul Play,44999621.0,44999621.0,0.0
1978,12,The End,44917151.0,44917151.0,0.0
1978,13,Up in Smoke,44364244.0,44364244.0,0.0
1978,14,Midnight Express,35000000.0,35000000.0,0.0
1978,15,Coming Home,32653905.0,32653905.0,0.0
1978,16,The Lord of the Rings,30474857.0,30471420.0,0.0
1978,17,House Calls,28460702.0,28460702.0,0.0
1978,18,Damien: Omen II,26518355.0,26518355.0,0.0
1978,19,Invasion of the Body Snatchers,24947762.0,24946533.0,0.0
1978,20,Convoy,22765081.0,22765081.0,0.0
1978,21,The Wiz,21049225.0,21049053.0,0.0
1978,22,F.I.S.T.,20388920.0,20388920.0,0.0
1978,23,Sgt. Pepper's Lonely Hearts Club Band,20378470.0,20378470.0,0.0
1978,24,Eyes of Laura Mars,20000077.0,20000000.0,77.0
1978,25,The One and Only,16928137.0,16928137.0,0.0
1978,26,Return from Witch Mountain,16393000.0,16393000.0,0.0
1978,27,Corvette Summer,15514367.0,15514367.0,0.0
1978,28,The Greek Tycoon,14672713.0,14672713.0,0.0
