Year,Holiday,Cumulative Gross,Releases,#1_Release,#1_Gross
1989,New Year's Eve,1715715.0,2.0,Back to the Future Part II,1675065.0
1989,Christmas Day,898190.0,2.0,Back to the Future Part II,851310.0
1989,Christmas Weekend,45702925.0,24.0,National Lampoon's Christmas Vacation,7007789.0
1989,Post-Thanksgiving Weekend,49740789.0,14.0,Back to the Future Part II,12110340.0
1989,Thanksgiving Weekend,79985363.0,14.0,Back to the Future Part II,27835125.0
1989,Thanksgiving 4-Day Weekend,36408317.0,3.0,Back to the Future Part II,35780025.0
1989,Thanksgiving,8047153.0,3.0,Back to the Future Part II,7944900.0
1989,Thanksgiving 5-Day Weekend,43721878.0,3.0,Back to the Future Part II,43016225.0
1989,Halloween,124381.0,2.0,Batman,72001.0
1989,Indigenous People's Day,363034.0,2.0,Parenthood,274025.0
1989,Indigenous People's Day Weekend,35935567.0,17.0,Black Rain,6100000.0
1989,Labor Day,2224450.0,3.0,Parenthood,1424751.0
1989,Labor Day Weekend,58699756.0,20.0,Uncle Buck,7822640.0
1989,Independence Day,7660936.0,3.0,Batman,5744783.0
1989,Independence Day Weekend,56670030.0,3.0,Batman,43558567.0
1989,Memorial Day,7676552.0,1.0,Indiana Jones and the Last Crusade,7676552.0
1989,Memorial Day Weekend,69952510.0,15.0,Indiana Jones and the Last Crusade,37031573.0
1989,Easter,176000.0,1.0,Twins,176000.0
1989,Easter Weekend,847005.0,1.0,Twins,847005.0
1989,President's Day,332750.0,1.0,Twins,332750.0
1989,President's Day Weekend,61798263.0,18.0,The 'Burbs,11101197.0
1989,MLK Day,969255.0,1.0,Twins,969255.0
1989,MLK Day Weekend,7717455.0,1.0,Twins,7717455.0
1989,New Year's Day,3296720.0,1.0,Twins,3296720.0
1989,New Year Weekend,80922672.0,23.0,The War of the Roses,10490781.0
1990,New Year's Eve,2392890.0,1.0,Kindergarten Cop,2392890.0
1990,Christmas Day,8583771.0,2.0,The Godfather Part III,6387271.0
1990,Christmas Weekend,79529186.0,24.0,Home Alone,15079919.0
1990,Post-Thanksgiving Weekend,54459183.0,14.0,Home Alone,14386876.0
1990,Thanksgiving Weekend,77304707.0,15.0,Home Alone,20987761.0
1990,Thanksgiving 4-Day Weekend,0.0,,-,0.0
1990,Thanksgiving 5-Day Weekend,0.0,,-,0.0
1990,Indigenous People's Day Weekend,48703704.0,17.0,Marked for Death,11790047.0
1990,Labor Day,100594.0,1.0,Total Recall,100594.0
1990,Labor Day Weekend,59283181.0,19.0,Ghost,9953630.0
1990,Independence Day,1407420.0,2.0,Total Recall,823620.0
1990,Memorial Day,4613415.0,1.0,Back to the Future Part III,4613415.0
1990,Memorial Day Weekend,67636727.0,13.0,Back to the Future Part III,23703060.0
1990,Easter,0.0,,-,0.0
1990,Easter Weekend,0.0,,-,0.0
1990,President's Day,139650.0,1.0,Back to the Future Part II,139650.0
1990,President's Day Weekend,56541914.0,23.0,Driving Miss Daisy,9834744.0
1990,MLK Day,500505.0,1.0,Back to the Future Part II,500505.0
1990,MLK Day Weekend,3249365.0,1.0,Back to the Future Part II,3249365.0
1990,New Year's Day,1681400.0,2.0,Back to the Future Part II,1643460.0
1990,New Year Weekend,134814585.0,24.0,Home Alone,25148406.0
1991,New Year's Eve,3636750.0,1.0,Hook,3636750.0
1991,Christmas Day,2868960.0,1.0,Hook,2868960.0
1991,Post-Thanksgiving Weekend,51745962.0,18.0,Star Trek VI: The Undiscovered Country,18162837.0
1991,Thanksgiving Weekend,69649364.0,16.0,The Addams Family,20133616.0
1991,Thanksgiving 4-Day Weekend,0.0,,-,0.0
1991,Thanksgiving,0.0,,-,0.0
1991,Thanksgiving 5-Day Weekend,0.0,,-,0.0
1991,Halloween,47734.0,1.0,Terminator 2: Judgment Day,47734.0
1991,Indigenous People's Day,79560.0,1.0,Terminator 2: Judgment Day,79560.0
1991,Indigenous People's Day Weekend,42960815.0,20.0,The Fisher King,4993580.0
1991,Labor Day,940610.0,1.0,Terminator 2: Judgment Day,940610.0
1991,Labor Day Weekend,52377453.0,21.0,Dead Again,6315869.0
1991,Independence Day,8883770.0,2.0,Terminator 2: Judgment Day,8879970.0
1991,Memorial Day,3060980.0,2.0,Backdraft,3037280.0
1991,Memorial Day Weekend,68385333.0,19.0,Backdraft,15723480.0
1991,Easter,193280.0,1.0,Kindergarten Cop,193280.0
1991,Easter Weekend,861560.0,1.0,Kindergarten Cop,861560.0
1991,President's Day,275520.0,1.0,Kindergarten Cop,275520.0
1991,President's Day Weekend,78542635.0,19.0,The Silence of the Lambs,13766814.0
1991,MLK Day,1018440.0,1.0,Kindergarten Cop,1018440.0
1991,MLK Day Weekend,76998122.0,25.0,Home Alone,11069157.0
1991,New Year's Day,2988710.0,1.0,Kindergarten Cop,2988710.0
1992,New Year's Eve,3838175.0,3.0,A Few Good Men,3372293.0
1992,Christmas Day,7627114.0,4.0,A Few Good Men,3360029.0
1992,Post-Thanksgiving Weekend,59055311.0,16.0,Home Alone 2: Lost in New York,12425234.0
1992,Thanksgiving Weekend,97079671.0,15.0,Home Alone 2: Lost in New York,28616454.0
1992,Thanksgiving 4-Day Weekend,76527.0,1.0,Unforgiven,76527.0
1992,Thanksgiving,15578.0,1.0,Unforgiven,15578.0
1992,Thanksgiving 5-Day Weekend,90120.0,1.0,Unforgiven,90120.0
1992,Halloween,31302.0,1.0,Unforgiven,31302.0
1992,Indigenous People's Day,80697.0,2.0,Unforgiven,50719.0
1992,Indigenous People's Day Weekend,55593491.0,17.0,Under Siege,15760003.0
1992,Labor Day,1596674.0,2.0,Unforgiven,1369297.0
1992,Labor Day Weekend,46138714.0,18.0,Honeymoon in Vegas,9170428.0
1992,Independence Day,4134885.0,2.0,Batman Returns,3966411.0
1992,Memorial Day,7077781.0,3.0,Alien³,3691321.0
1992,Memorial Day Weekend,89253336.0,15.0,Lethal Weapon 3,27567462.0
1992,Easter,1494860.0,1.0,Basic Instinct,1494860.0
1992,Easter Weekend,7337575.0,1.0,Basic Instinct,7337575.0
1992,President's Day,410440.0,1.0,Hook,410440.0
1992,President's Day Weekend,72906550.0,16.0,Wayne's World,18122710.0
1992,MLK Day,1131965.0,1.0,Hook,1131965.0
1992,MLK Day Weekend,81674103.0,19.0,The Hand That Rocks the Cradle,11839246.0
1992,New Year's Day,4028400.0,1.0,Hook,4028400.0
1993,New Year's Eve,1148611.0,3.0,Batman: Mask of the Phantasm,469816.0
1993,Christmas Day,1253992.0,3.0,Batman: Mask of the Phantasm,557134.0
1993,Post-Thanksgiving Weekend,43373593.0,15.0,Mrs. Doubtfire,14735459.0
1993,Thanksgiving Weekend,76914103.0,19.0,Mrs. Doubtfire,20468847.0
1993,Thanksgiving 4-Day Weekend,2209920.0,1.0,Jurassic Park,2209920.0
1993,Thanksgiving,354200.0,1.0,Jurassic Park,354200.0
1993,Thanksgiving 5-Day Weekend,2502520.0,1.0,Jurassic Park,2502520.0
1993,Halloween,131600.0,1.0,Jurassic Park,131600.0
1993,Indigenous People's Day,112015.0,1.0,Jurassic Park,112015.0
1993,Indigenous People's Day Weekend,68852609.0,17.0,Demolition Man,15973850.0
1993,Labor Day,1511447.0,2.0,Jurassic Park,908825.0
1993,Labor Day Weekend,67578289.0,20.0,The Fugitive,17239413.0
1993,Independence Day,6736202.0,5.0,Jurassic Park,4829760.0
1993,Independence Day Weekend,121647503.0,15.0,The Firm,32476785.0
1993,Memorial Day,4870324.0,5.0,Cliffhanger,4281055.0
1993,Memorial Day Weekend,84030468.0,17.0,Cliffhanger,20458022.0
1993,Easter,1060413.0,4.0,Unforgiven,446021.0
1993,Easter Weekend,5333567.0,4.0,Unforgiven,2183015.0
1993,President's Day,2946003.0,4.0,Groundhog Day,2134436.0
1993,President's Day Weekend,73301759.0,20.0,Groundhog Day,14652108.0
1993,MLK Day,1867083.0,4.0,A Few Good Men,975738.0
1993,MLK Day Weekend,75051860.0,22.0,Aladdin,10920346.0
