Year,Tickets Sold,Total Box Office,Total Inflation Adjusted Box Office,Average Ticket Price
2025,763169386,8631445757.0,8631445757.0,11.31
2024,760482781,8601060254.0,8601060254.0,11.31
2023,819306691,8963217610.0,9266358669.0,10.94
2022,702373460,7395994572.0,7943843838.0,10.53
2021,444250543,4518029580.0,5024473637.0,10.17
2020,219986842,2019481070.0,2488051184.0,9.18
2019,1225563974,11226168620.0,13861128548.0,9.16
2018,1311558716,11948302425.0,14833727968.0,9.11
2017,1225762392,10995091460.0,13863372665.0,8.97
2016,1302610878,11267792299.0,14732529022.0,8.65
2015,1336743967,11268754656.0,15118574269.0,8.43
2014,1257327489,10272368746.0,14220373900.0,8.17
2013,1339166251,10887424599.0,15145970298.0,8.13
2012,1382840535,11007413639.0,15639926442.0,7.96
2011,1282915590,10173523046.0,14509775320.0,7.93
2010,1328787540,10484135922.0,15028586742.0,7.89
2009,1418567388,10639257284.0,16043988821.0,7.5
2008,1358069603,9750941820.0,15359767200.0,7.18
2007,1420164148,9770731899.0,16062056511.0,6.88
2006,1401392669,9179124447.0,15849751091.0,6.55
2005,1373062008,8801329592.0,15529331310.0,6.41
2004,1496253578,9291736694.0,16922627987.0,6.21
2003,1525189405,9196893999.0,17249892183.0,6.03
2002,1575921670,9156106691.0,17823674086.0,5.81
2001,1466351713,8299552336.0,16584437879.0,5.66
2000,1401848498,7555963414.0,15854906518.0,5.39
1999,1444661989,7338884198.0,16339127088.0,5.08
1998,1454585697,6822007916.0,16451364229.0,4.69
1997,1349765352,6195423856.0,15265846145.0,4.59
1996,1305793554,5771608313.0,14768506285.0,4.42
1995,1221788544,5314780870.0,13818428426.0,4.35
