periodo,cuyo,gba,nacional,noreste,noroeste,pampeana,patagonia,var_im_gba,var_im_pampeana,var_im_noreste,var_im_noroeste,var_im_cuyo,var_im_patagonia,var_im_nacional,var_ia_gba,var_ia_pampeana,var_ia_noreste,var_ia_noroeste,var_ia_cuyo,var_ia_patagonia,var_ia_nacional
2016-12-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,101.3446,100.5008,100.925,100.7754,101.3444,101.3123,101.1901,0.005007999999999901,0.013122999999999996,0.007754000000000039,0.013444000000000011,0.013446000000000069,0.01190099999999994,0.00924999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,103.6784,105.4806,105.2395,104.2784,105.4591,105.2329,105.356,0.04954985432951764,0.03869816399390813,0.03476046733627447,0.04060115803142561,0.023028360662531666,0.04116904716963421,0.042749566509784565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-01,107.6177,107.1121,107.2901,106.3092,107.1161,107.7278,106.5579,0.015467299200042417,0.023708364969510454,0.019474790560652933,0.015712252427718454,0.037995378015092784,0.011407988154447768,0.019485079271566175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-01,110.4164,109.5812,109.8338,109.4168,109.2687,110.2615,109.665,0.023051550665144305,0.0235194629427129,0.029231712777445296,0.020095951962403324,0.026005945118693363,0.029158795359142786,0.023708618036519802,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,111.7646,111.639,111.7182,111.5329,111.2548,111.9322,111.7105,0.018778768620894892,0.015152160999079456,0.019339808877612885,0.018176293851761782,0.012210142696193804,0.018652259152874606,0.017156831503599035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-01,112.0463,112.1628,112.4572,114.2932,111.5999,112.7727,112.9921,0.004691908741568884,0.007509009918504228,0.024748751265321722,0.0031018886376139587,0.0025204760720298758,0.011472511536516183,0.006614857740278701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,114.6441,115.9318,115.794,117.5087,113.8749,115.9517,115.8682,0.03360294143869447,0.028189446559317988,0.028133782237263594,0.02038532292591655,0.023185058319640905,0.025453991916249086,0.0296717328903795,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,116.9571,117.4477,117.3256,119.621,116.0454,117.2003,117.2341,0.013075791111670787,0.010768276791112141,0.017975690310589654,0.0190603899542392,0.020175482209725537,0.011788394054624174,0.013226937492443414,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,117.5981,118.2786,118.1383,120.8207,116.804,118.0307,117.6412,0.00707463832837929,0.007085306095632848,0.010029175479221886,0.006537096688020494,0.0054806420473831885,0.003472539133238639,0.006926876998711418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-01,121.0022,122.1014,121.695,124.096,120.004,121.4659,120.4857,0.032320301390107664,0.029104292357835737,0.027108765302634508,0.02739632204376563,0.028946896250874765,0.02417945413681588,0.030106239890027142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-01,122.3994,123.4181,123.0467,125.5617,120.8879,122.9479,121.7447,0.01078366013821297,0.012200955165194483,0.011811017276946778,0.007365587813739527,0.011546897494425723,0.010449372830136694,0.011107276387690712,0.0,0.0,0.0,0.0,0.0,0.0,0.0
