periodo,cuyo,gba,nacional,noreste,noroeste,pampeana,patagonia,var_im_gba,var_im_pampeana,var_im_noreste,var_im_noroeste,var_im_cuyo,var_im_patagonia,var_im_nacional,var_ia_gba,var_ia_pampeana,var_ia_noreste,var_ia_noroeste,var_ia_cuyo,var_ia_patagonia,var_ia_nacional
2016-12-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,101.2098,100.8651,100.8773,101.4132,100.4121,100.8374,101.0684,0.008650999999999964,0.008374000000000104,0.014132000000000033,0.004121000000000041,0.012097999999999942,0.010683999999999916,0.008773000000000142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,101.4084,101.2178,101.3278,101.7747,100.6545,101.5404,101.2819,0.0034967496190456693,0.006971619656992445,0.0035646247234086825,0.0024140516929733735,0.001962260571604757,0.002112430789445563,0.004465821349302512,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-01,102.4367,102.1399,102.1787,103.1742,102.0194,102.0686,102.3074,0.009110057717120812,0.005201870388535035,0.013750961683011598,0.013560248175690237,0.010140185625648446,0.010125204997141646,0.008397498021273542,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-01,103.4704,103.1802,103.3147,104.9504,103.1266,103.234,103.6556,0.010185050112639704,0.01141781115837781,0.017215544196126586,0.010852837793596137,0.010091109924470487,0.013177932388077629,0.011117776992660922,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,105.9601,106.2886,106.1577,106.8457,106.0504,105.9881,105.8478,0.030125935014663652,0.02667822616579807,0.01805900692136464,0.028351560121248953,0.024061953950115234,0.021148881488313176,0.027517865318294588,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-01,107.3218,107.7485,107.4904,107.4653,106.5386,107.3324,107.8202,0.013735245360273929,0.012683499373986384,0.005799016712886074,0.004603471556920091,0.012851063749467873,0.018634303216505055,0.01255396452636015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,109.2936,110.4314,110.0984,109.8963,109.3629,110.0163,109.7282,0.024899650575181953,0.025005496942209327,0.022621255419191133,0.02650964063729,0.01837278167157086,0.017696127441796605,0.024262631825725967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,110.3561,111.5098,111.1513,110.2027,110.1396,111.202,110.7126,0.009765338481627417,0.010777493880452127,0.0027880829472874957,0.007102042831709898,0.009721520747783874,0.008971258072218324,0.009563263408006062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,111.9858,112.5568,112.2879,111.002,111.3973,112.4815,111.2591,0.009389309280439795,0.011506088019999527,0.007252998338516337,0.011419144431249029,0.014767647642495607,0.004936204189947668,0.010225701363816508,0.0,0.0,0.0,0.0,0.0,0.0,0.0
