periodo,cuyo,gba,nacional,noreste,noroeste,pampeana,patagonia,var_im_gba,var_im_pampeana,var_im_noreste,var_im_noroeste,var_im_cuyo,var_im_patagonia,var_im_nacional,var_ia_gba,var_ia_pampeana,var_ia_noreste,var_ia_noroeste,var_ia_cuyo,var_ia_patagonia,var_ia_nacional
2016-12-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,101.494,103.243,103.1906,103.633,103.4112,103.5814,100.9612,0.03242999999999996,0.03581400000000001,0.03632999999999997,0.03411199999999992,0.014939999999999953,0.009611999999999954,0.03190599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,103.0695,103.3096,103.7961,105.6846,103.4842,104.5173,102.5319,0.0006450800538535528,0.009035405970569954,0.019796782878040764,0.0007059196682759339,0.015523085108479329,0.015557461678347595,0.005867782530579291,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-01,105.7508,104.8017,105.5114,105.7406,105.1461,106.5045,105.026,0.014442994649093599,0.01901312031596669,0.0005298785253480265,0.01605945641943407,0.02601448537152118,0.02432511247719016,0.016525669076198346,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-01,108.008,108.3531,108.2881,109.1455,107.7095,108.1603,108.9559,0.033886854888804274,0.015546760934984194,0.03220049820031279,0.02437941112414066,0.02134451937952231,0.037418353550549455,0.02631658759148303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,110.9068,109.3191,109.0808,109.7089,108.8826,107.9732,112.5688,0.008915296378230186,-0.0017298398765536183,0.005161916890755958,0.01089133270510012,0.026838752684986478,0.03315928738140839,0.007320287270715875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-01,112.7822,112.5701,111.6195,112.3574,110.3471,109.8691,115.3037,0.029738627559136477,0.01755898685970214,0.02414115901262348,0.013450266617439421,0.01690969354448968,0.02429536425723655,0.023273573351130672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,115.2405,116.1042,115.609,114.8339,113.0802,115.2982,118.2348,0.03139465986083345,0.049414257511893656,0.022041271869943646,0.02476820867970253,0.021796879294782245,0.02542069335155772,0.035741962649895376,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,116.5243,116.1082,116.3997,118.114,116.6181,116.041,119.7007,3.445181138994613e-05,0.0064424249467902595,0.02856386485175544,0.03128664434622497,0.01114018075242651,0.012398211017399241,0.006839432916122545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,119.604,120.017,119.536,119.7391,118.2457,118.8879,121.4033,0.03366515026501138,0.024533570031282093,0.013758741554769083,0.013956667103991682,0.02642968033277171,0.014223809885823613,0.026944227519486885,0.0,0.0,0.0,0.0,0.0,0.0,0.0
