periodo,cuyo,gba,nacional,noreste,noroeste,pampeana,patagonia,var_im_gba,var_im_pampeana,var_im_noreste,var_im_noroeste,var_im_cuyo,var_im_patagonia,var_im_nacional,var_ia_gba,var_ia_pampeana,var_ia_noreste,var_ia_noroeste,var_ia_cuyo,var_ia_patagonia,var_ia_nacional
2016-12-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,102.6271,101.7583,102.0755,100.3463,102.928,102.4339,102.4768,0.017583000000000126,0.02433899999999989,0.003462999999999994,0.029279999999999973,0.026270999999999933,0.0247679999999999,0.02075500000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,105.0294,103.5441,103.9957,101.2812,105.5673,104.4485,104.4111,0.017549428400435163,0.019667317167461285,0.009316736142737758,0.02564219648686472,0.023408047192213344,0.018875491818636014,0.01881156594873401,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-01,107.7578,104.5685,105.2177,102.3716,106.4422,105.7104,106.3107,0.009893369105530958,0.0120815521524964,0.010766065173003492,0.00828760421077357,0.02597748820806367,0.018193467935880392,0.01175048583739513,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-01,108.5852,105.0876,105.8674,102.8986,106.9891,106.4751,107.5492,0.004964210063259866,0.007233914543885778,0.0051479121162509855,0.005137999778283442,0.0076783304781649075,0.011649815117387163,0.0061748165945465505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,109.0421,106.2149,106.8575,104.8915,108.233,107.2349,108.0742,0.010727240892360435,0.007135940703507204,0.019367610443679517,0.011626418018284124,0.004207755753086184,0.004881486798600232,0.009352265192117626,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-01,111.879,106.5466,107.5925,106.5643,109.1964,108.0181,108.9388,0.003122914016771672,0.0073035923938942204,0.015947908076441086,0.008901166926907678,0.026016556907836552,0.00800005921857383,0.006878319256954368,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,112.9427,108.0683,109.9058,110.6746,112.3778,111.0984,112.1956,0.01428201369166171,0.02851651713925718,0.038571078682072546,0.029134660117000166,0.009507593024606908,0.02989568454949021,0.021500569277598247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,113.4674,109.2582,111.0994,111.5878,113.7116,112.3391,113.9424,0.011010629389006876,0.011167577570874165,0.008251215726101657,0.011868892254520036,0.004645718581192115,0.015569238009333741,0.010860209379304875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,114.6184,110.258,111.9943,112.4219,114.5102,112.9931,115.474,0.009150800580642882,0.005821659600263818,0.007474831477993105,0.007023030192170321,0.010143882736362908,0.013441879405734714,0.008054948991623734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
